Title	URL	Skill level	Software Development Model (SDM)	SDM requirement level	Scope	FAIR4RS	Argo FAIR tools	Project Aspects
A version control tool is used to manage the codebase (e.g., Git)	https://github.com/euroargodev/software_guidelines/issues/1	2 - Beginner	Collaborative	1 - Required	General guideline			Project content
Argo Data accessed locally by the software are assumed to be organised following the GDAC folder structure	https://github.com/euroargodev/software_guidelines/issues/2	2 - Beginner	Open-Source	2 - Recommended	Argo specific	Reusable	Accessible	Codebase
Argo Data accessed remotely by the software are retrieved from an official GDAC server (http, ftp, s3 servers)	https://github.com/euroargodev/software_guidelines/issues/3	2 - Beginner	Open-Source	1 - Required	Argo specific	Reusable	Accessible	Codebase
Argo Data used by the software are traceable with a persistent identifier (Argo GDAC DOI or snapshot DOIs)	https://github.com/euroargodev/software_guidelines/issues/4	2 - Beginner	Open-Source	1 - Required	Argo specific		Findable	Codebase
Argo Meta-Data accessed remotely by the software are retrieved from an official Argo sources (GDAC ftp, GDAC https, NVS, SparQL, STAC)	https://github.com/euroargodev/software_guidelines/issues/5	2 - Beginner	Open-Source	2 - Recommended	Argo specific	Reusable	Reusable	Codebase
Argo papers and DOIs are referenced in the software metadata	https://github.com/euroargodev/software_guidelines/issues/6	2 - Beginner	Open-Source	3 - Best effort	Argo specific	Findable	Findable	Argo compliance
Code review meetings are organized when needed	https://github.com/euroargodev/software_guidelines/issues/7	4 - Advanced	Collaborative	3 - Best effort	General guideline			Project Management
Data produced by the software preserve the Argo license (CC BY 4.0)	https://github.com/euroargodev/software_guidelines/issues/8	4 - Advanced	Open-Source	2 - Recommended	Argo specific		Reusable	Argo compliance
Data produced by the software respect Argo file formats and conventions wherever relevant (e.g. NetCDF CF-1.7)	https://github.com/euroargodev/software_guidelines/issues/9	2 - Beginner	Open-Source	1 - Required	Argo specific	Interoperable	Findable	Codebase
Each collaborator is clearly identified within the project	https://github.com/euroargodev/software_guidelines/issues/10	3 - Intermediate	Collaborative	2 - Recommended	General guideline			Project Management
Each pull request is reviewed by at least one collaborator	https://github.com/euroargodev/software_guidelines/issues/11	4 - Advanced	Collaborative	3 - Best effort	General guideline			Project Management
Every significant change within the code is managed through a pull (or merge) request	https://github.com/euroargodev/software_guidelines/issues/12	3 - Intermediate	Collaborative	1 - Required	General guideline			Project Management
Issues or bug reports are described as fully as possible (e.g. use labels, reproducible example)	https://github.com/euroargodev/software_guidelines/issues/13	4 - Advanced	Collaborative	3 - Best effort	General guideline			Project Management
Issues or bugs are explicitly referencing the concerned Argo mission (e.g. core, deep, BGC, ...) or component (e.g. trajectories, decoding,...)	https://github.com/euroargodev/software_guidelines/issues/14	3 - Intermediate	Collaborative	2 - Recommended	Argo specific			Argo compliance
Issues or bugs are managed through the web-based development platform (e.g., GitHub or GitLab issues)	https://github.com/euroargodev/software_guidelines/issues/15	3 - Intermediate	Collaborative	1 - Required	General guideline			Project content
Metadata produced by the software follow Argo conventions (as in reference tables provided by the NVS server)	https://github.com/euroargodev/software_guidelines/issues/16	2 - Beginner	Open-Source	2 - Recommended	Argo specific	Interoperable	Interoperable	Codebase
Non-Argo Data used by the software are explicitly identified and traceable with a persistent identifier (DOI) when available	https://github.com/euroargodev/software_guidelines/issues/17	2 - Beginner	Open-Source	3 - Best effort	General guideline	Interoperable		Documentation
Non-Argo Data used by the software should be accessible online	https://github.com/euroargodev/software_guidelines/issues/18	1 - Novice	Open-Source	2 - Recommended	General guideline	Interoperable		Codebase
Project meetings are periodically organized	https://github.com/euroargodev/software_guidelines/issues/19	4 - Advanced	Collaborative	2 - Recommended	General guideline			Project Management
Software training sessions are periodically organized	https://github.com/euroargodev/software_guidelines/issues/20	5 - Expert	Open-Source	2 - Recommended	General guideline			Project Management
The codebase includes comments and is documented following referenced standards (e.g. numpy style docstrings in Python)	https://github.com/euroargodev/software_guidelines/issues/21	2 - Beginner	Open-Source	1 - Required	General guideline	Accessible		Documentation
The codebase includes comments and is documented to explain the purpose and functionality of each module, class, and function	https://github.com/euroargodev/software_guidelines/issues/22	1 - Novice	Open-Source	1 - Required	General guideline	Reusable		Documentation
The codebase is "consistent", i.e. it follows consistent naming conventions, coding styles, and design patterns throughout the software	https://github.com/euroargodev/software_guidelines/issues/23	2 - Beginner	Open-Source	2 - Recommended	General guideline			Codebase
The codebase is designed with modular components to facilitate reuse, testing and maintenance	https://github.com/euroargodev/software_guidelines/issues/24	3 - Intermediate	Open-Source	2 - Recommended	General guideline	Reusable		Codebase
The codebase is formatted following referenced standards (e.g. black in Python)	https://github.com/euroargodev/software_guidelines/issues/25	3 - Intermediate	Open-Source	1 - Required	General guideline	Accessible		Codebase
